email,uuid,first_name,last_name,password,dob,hiv_status,diagnosis_date,art_status,art_start_date,country_iso,life_span
patient@gmail.com,CB9390D2-3F16-48A6-9C9F-777983952303,rich,munye,$1$vZJw1PdD$ckAwQx4wZW025wOILqW7Y0,2023-10-10,true,2023-11-11,true,2023-12-12,RWA,50
elie@gmail.com,4B84DB3C-D803-49E6-B5F9-80FD1E9E0627,elie,kagabo,$1$vZJw1PdD$xYMNFyX9jdkgCCgDZ5.Dd.,2023-10-10,true,2023-11-11,true,2023-12-12,RWA,85
gash@gmail.com,A00A5EEC-D006-41CD-B714-A552F8C55383,gash,elie,$1$vZJw1PdD$6/VC7Lg.HGrMq5uOFWmZB0,1990-08-12,true,2018-03-08,true,2024-08-08,RWA,12
peace@gmail.com,2286D2E6-A464-4772-86E2-4327CDA7F3D8,peace,bakare,$1$vZJw1PdD$AZ4Pp68QmiqZZTiKC12FY/,1996-01-01,true,2022-01-01,true,2024-01-01,RWA,21
rose@gmail.com,4072B29E-2CE3-403A-A5C7-5D6C7A773EFF,rose,kimu,$1$vZJw1PdD$KIWZDRfnK2xjOcYzSofcv.,1999-12-12,true,2020-11-12,true,2022-12-12,RWA,31
rich@gmail.com,A98DA659-E3AA-4415-918F-902E363C0403,rich,munye,$1$vZJw1PdD$ckAwQx4wZW025wOILqW7Y0,1999-12-12,true,2000-12-12,true,2002-12-12,RWA,31
user_1@example.com,8c6ade3b-4bdf-42be-ba1c-766ac181dbcf,Anthony,Jimenez,$1$vZJw1PdD$K8xQ/SD4bFXmK9rVLGAXY1,1983-12-25,false,1969-01-17,true,1999-05-02,BES,11
user_2@example.com,c29f81d0-bc5b-420e-bb5d-9760d69a97b6,Scott,Phillips,$1$vZJw1PdD$K8xQ/SD4bFXmK9rVLGAXY1,1977-09-18,false,2006-01-04,false,1969-04-21,QAT,4
user_3@example.com,abf3348b-9b6e-404d-bb4e-2727aa5f4c84,Matthew,Diaz,$1$vZJw1PdD$K8xQ/SD4bFXmK9rVLGAXY1,1994-01-08,true,2012-10-03,true,1983-09-30,MNE,5
user_4@example.com,81e45b48-568a-4459-af43-758a5b27998e,Daniel,Hunter,$1$vZJw1PdD$K8xQ/SD4bFXmK9rVLGAXY1,1973-03-28,true,1982-01-23,false,1989-06-24,CMR,25
user_5@example.com,2007f62d-06ee-41f9-8daf-1b70df49334a,Mary,Gamble,$1$vZJw1PdD$K8xQ/SD4bFXmK9rVLGAXY1,1983-12-25,false,2009-04-14,true,2007-12-20,GGY,17
user_6@example.com,67c1356e-26be-4ba3-bcb4-6f8492b08207,Sharon,Evans,$1$vZJw1PdD$K8xQ/SD4bFXmK9rVLGAXY1,1967-07-02,true,1995-03-13,false,2002-07-09,ISR,40
